n° compte;;Intitulé;;concat;;
60000000;;Achats;;60000000 - Achats;;
60100000;;Achats stockes mat. prem. (fourn.);;60100000 - Achats stockes mat. prem. (fourn.);;
60200000;;Achats stockes autres approv.;;60200000 - Achats stockes autres approv.;;
60300000;;Variation de stocks appro marchand;;60300000 - Variation de stocks appro marchand;;
60310000;;Variation de stoc de mat prems fou;;60310000 - Variation de stoc de mat prems fou;;
60320000;;Variat stoc autres approv;;60320000 - Variat stoc autres approv;;
60370000;;Variat de stocks de marchandises;;60370000 - Variat de stocks de marchandises;;
60400000;;Achats etudes et prestat. services;;60400000 - Achats etudes et prestat. services;;
60401100;;Achat Ski/Voyage;;60401100 - Achat Ski/Voyage;;
60401200;;Versement Cotisation High Five;;60401200 - Versement Cotisation High Five;;
60600000;;Achats non stockes de mat. prem.;;60600000 - Achats non stockes de mat. prem.;;
60610000;;Fournitures non stock. eau, énergie;;60610000 - Fournitures non stock. eau, énergie;;
60612000;;Carburant;;60612000 - Carburant;;
60630000;;Fournit. entretien & petit equip.;;60630000 - Fournit. entretien & petit equip.;;
60630010;;Petit Equipement - Amicale;;60630010 - Petit Equipement - Amicale;;
60630030;;Petit Equipement - Foyer;;60630030 - Petit Equipement - Foyer;;
60630050;;Petit Equipement - Rock'n Solex;;60630050 - Petit Equipement - Rock'n Solex;;
60630230;;Petit Equipement - S&L;;60630230 - Petit Equipement - S&L;;
60630270;;Petit Equipement - FOG;;60630270 - Petit Equipement - FOG;;
60631001;;Consommables - Amicale;;60631001 - Consommables - Amicale;;
60631005;;Consommables - Rock'n Solex;;60631005 - Consommables - Rock'n Solex;;
60631006;;Consommables - Gala;;60631006 - Consommables - Gala;;
60640000;;Fournitures administratives;;60640000 - Fournitures administratives;;
60640010;;Fournitures Administratives - Amicale;;60640010 - Fournitures Administratives - Amicale;;
60640050;;Fournitures Administratives - RNS;;60640050 - Fournitures Administratives - RNS;;
60680000;;Autres matieres et fournitures;;60680000 - Autres matieres et fournitures;;
60700000;;Achat de Journaux;;60700000 - Achat de Journaux;;
