Club;;fiches de caisse;;debit - VIR;;debit - CHQ;;debit - CB;;credit - VIR;;credit - CHQ;;credit - CB;;
Amicale;;0;;8;;2;;4;;0;;0;;0;;
autres clubs;;0;;27;;1;;1;;0;;0;;0;;
Bebop;;0;;6;;1;;2;;0;;0;;0;;
FOG;;0;;0;;2;;3;;0;;0;;0;;
Foyer;;0;;0;;0;;0;;0;;0;;0;;
Gala;;0;;0;;0;;0;;0;;0;;0;;
High Five;;0;;22;;0;;0;;0;;0;;0;;
InsaLan;;0;;37;;34;;0;;0;;0;;0;;
K-Fet;;0;;0;;0;;0;;0;;0;;0;;
Robot;;0;;0;;11;;0;;0;;0;;0;;
RNS;;0;;9;;1;;1;;0;;0;;0;;
S et L;;0;;0;;0;;0;;0;;0;;0;;
UDS;;0;;41;;0;;1;;0;;0;;0;;
WEI;;0;;4;;0;;0;;0;;0;;0;;
WEIPA;;0;;0;;0;;0;;0;;0;;0;;
